INSTNM,CITY,STABBR,ZIP,LATITUDE,LONGITUDE,C150_4,REGION,TUITIONFEE_IN,TUITIONFEE_OUT
Sterling College,Sterling,KS,67579,38.219937,-98.208644,0.2903,4,32200.0,32200.0
Tabor College,Hillsboro,KS,67063-1799,38.34858,-97.199773,0.3289,4,35050.0,35050.0
Washburn University,Topeka,KS,66621,39.033778,-95.702222,0.5263,4,9578.0,20582.0
Wichita State University,Wichita,KS,67260-0124,37.718882,-97.292361,0.5143,4,9322.0,19240.0
Alice Lloyd College,Pippa Passes,KY,41844,37.335087,-82.875068,0.2636,5,14080.0,14080.0
Asbury University,Wilmore,KY,40390-1198,37.862029,-84.662606,0.65,5,33640.0,33640.0
Bellarmine University,Louisville,KY,40205-0671,38.219279,-85.704997,0.6775,5,47180.0,47180.0
Berea College,Berea,KY,40404-2182,37.57202,-84.292893,0.6204,5,49326.0,49326.0
Brescia University,Owensboro,KY,42301-3023,37.769041,-87.111639,0.4597,5,30450.0,30450.0
Campbellsville University,Campbellsville,KY,42718-2799,37.343342,-85.348943,0.4713,5,26990.0,26990.0
Centre College,Danville,KY,40422-1394,37.645709,-84.779392,0.8529,5,50550.0,50550.0
Clear Creek Baptist Bible College,Pineville,KY,40977-9752,36.725236,-83.727702,0.3333,5,10120.0,10120.0
Galen College of Nursing-Louisville,Louisville,KY,40245,38.281333,-85.499039,0.6316,5,,
University of the Cumberlands,Williamsburg,KY,40769,36.737048,-84.161646,0.4624,5,9875.0,9875.0
Eastern Kentucky University,Richmond,KY,40475-3102,37.740845,-84.300796,0.4974,5,10130.0,20820.0
Georgetown College,Georgetown,KY,40324-1696,38.207615,-84.553767,0.4754,5,42010.0,42010.0
American National University-Pikeville,Pikeville,KY,41501-1520,37.472423,-82.528212,0.5,5,11484.0,11484.0
Kentucky Mountain Bible College,Jackson,KY,41339,37.603443,-83.438765,0.3571,5,10060.0,10060.0
Kentucky State University,Frankfort,KY,40601-2355,38.201427,-84.855402,0.2714,5,9214.0,13260.0
Kentucky Wesleyan College,Owensboro,KY,42301,37.744489,-87.119658,0.526,5,33393.0,33393.0
University of Kentucky,Lexington,KY,40506-0032,38.038911,-84.504747,0.6993,5,13212.0,33406.0
Kentucky Christian University,Grayson,KY,41143-1199,38.338805,-82.945561,0.3377,5,25000.0,25000.0
Lindsey Wilson College,Columbia,KY,42728-1223,37.101502,-85.299997,0.3808,5,27274.0,27274.0
University of Louisville,Louisville,KY,40292-0001,38.216862,-85.760412,0.6068,5,12828.0,29174.0
Midway University,Midway,KY,40347-1120,38.146126,-84.678142,0.4638,5,26080.0,26080.0
Morehead State University,Morehead,KY,40351,38.186768,-83.434021,0.4769,5,9838.0,14706.0
Murray State University,Murray,KY,42071-3318,36.612419,-88.323629,0.5953,5,9708.0,19452.0
Northern Kentucky University,Highland Heights,KY,41099,39.029714,-84.463483,0.4828,5,10896.0,21480.0
University of Pikeville,Pikeville,KY,41501,37.479232,-82.521063,0.3907,5,24150.0,24150.0
The Southern Baptist Theological Seminary,Louisville,KY,40280-0001,38.248216,-85.687649,0.4386,5,13086.0,13086.0
Spalding University,Louisville,KY,40203-2188,38.242407,-85.757725,0.5732,5,27850.0,27850.0
Sullivan University,Louisville,KY,40205,38.212824,-85.670489,0.3018,5,14220.0,14220.0
Thomas More University,Crestview Hills,KY,41017-3495,39.022963,-84.568923,0.4011,5,38400.0,38400.0
Transylvania University,Lexington,KY,40508-1797,38.052983,-84.493202,0.6975,5,44980.0,44980.0
Union College,Barbourville,KY,40906-1499,36.870875,-83.888477,0.3603,5,30946.0,30946.0
Western Kentucky University,Bowling Green,KY,42101-1000,36.985035,-86.456828,0.5367,5,11436.0,27000.0
Centenary College of Louisiana,Shreveport,LA,71104,32.483335,-93.730834,0.593,5,40000.0,40000.0
Dillard University,New Orleans,LA,70122,29.996587,-90.06464,0.451,5,22194.0,22194.0
Grambling State University,Grambling,LA,71245,32.523797,-92.713245,0.3234,5,7683.0,16706.0
Louisiana State University-Alexandria,Alexandria,LA,71302-9121,31.178616,-92.414409,0.3552,5,7050.0,14650.0
Louisiana State University and Agricultural & Mechanical College,Baton Rouge,LA,70803-2750,30.414986,-91.178921,0.7096,5,11954.0,28631.0
Louisiana State University-Shreveport,Shreveport,LA,71115-2399,32.428465,-93.70561,0.3321,5,7327.0,20481.0
Louisiana Christian University,Pineville,LA,71359,31.324528,-92.425973,0.4128,5,19740.0,19740.0
Louisiana Tech University,Ruston,LA,71272,32.528297,-92.649963,0.5762,5,10125.0,16866.0
Loyola University New Orleans,New Orleans,LA,70118-6143,29.936141,-90.120417,0.6742,5,47240.0,47240.0
McNeese State University,Lake Charles,LA,70605,30.178187,-93.217222,0.5201,5,8460.0,9960.0
University of New Orleans,New Orleans,LA,70148,30.027704,-90.067142,0.4251,5,9172.0,14008.0
New Orleans Baptist Theological Seminary,New Orleans,LA,70126,30.004336,-90.043439,0.4074,5,11540.0,11540.0
Nicholls State University,Thibodaux,LA,70310,29.794486,-90.801571,0.5429,5,8173.0,9266.0
University of Louisiana at Monroe,Monroe,LA,71209-0000,32.527748,-92.07374,0.506,5,9190.0,21290.0
Northwestern State University of Louisiana,Natchitoches,LA,71497-0002,31.750666,-93.097797,0.4463,5,8864.0,19652.0
University of Holy Cross,New Orleans,LA,70131-7399,29.912003,-89.99445,0.3582,5,16160.0,16160.0
Franciscan Missionaries of Our Lady University,Baton Rouge,LA,70808,30.401379,-91.110587,0.5132,5,15690.0,15690.0
Saint Joseph Seminary College,St. Benedict,LA,70457,30.526778,-90.113621,0.4,5,26770.0,26770.0
Southeastern Louisiana University,Hammond,LA,70402,30.514652,-90.468676,0.448,5,8373.0,20851.0
Southern University and A & M College,Baton Rouge,LA,70813,30.524558,-91.190105,0.2845,5,9940.0,17198.0
Southern University at New Orleans,New Orleans,LA,70126,30.026162,-90.044912,0.1786,5,7490.0,16390.0
University of Louisiana at Lafayette,Lafayette,LA,70503,30.212191,-92.020165,0.52,5,10418.0,24146.0
Tulane University of Louisiana,New Orleans,LA,70118-5698,29.940069,-90.122144,0.8891,5,65538.0,65538.0
Xavier University of Louisiana,New Orleans,LA,70125-1098,29.964162,-90.107307,0.5021,5,27868.0,27868.0
College of the Atlantic,Bar Harbor,ME,04609,44.395258,-68.221517,0.6923,1,46179.0,46179.0
Bates College,Lewiston,ME,04240,44.105299,-70.203333,0.9059,1,63478.0,63478.0
Beal University,Bangor,ME,04401,44.786465,-68.785428,0.3415,1,,
Bowdoin College,Brunswick,ME,04011,43.907134,-69.963942,0.956,1,64910.0,64910.0
Maine College of Health Professions,Lewiston,ME,04240,44.100458,-70.21732,0.8333,1,17827.0,17827.0
Colby College,Waterville,ME,04901-8840,44.564211,-69.66337,0.9022,1,66600.0,66600.0
University of Maine at Augusta,Augusta,ME,04330-9410,44.337746,-69.796396,0.2328,1,8618.0,21548.0
University of Maine at Farmington,Farmington,ME,04938-9978,44.666911,-70.147121,0.5275,1,10989.0,23079.0
University of Maine at Fort Kent,Fort Kent,ME,04743-1292,47.250389,-68.589319,0.3984,1,9045.0,14325.0
University of Maine,Orono,ME,04469,44.899257,-68.669332,0.5643,1,12606.0,35346.0
Maine Maritime Academy,Castine,ME,04420-0001,44.389654,-68.804347,0.6141,1,14746.0,30226.0
University of Maine at Presque Isle,Presque Isle,ME,04769-2888,46.672285,-68.016343,0.3766,1,8990.0,14270.0
University of New England,Biddeford,ME,04005-9599,43.458591,-70.38535,0.6083,1,42550.0,42550.0
Maine College of Art & Design,Portland,ME,04101-3494,43.655743,-70.261015,0.4874,1,41398.0,41398.0
Saint Joseph's College of Maine,Standish,ME,04084-5263,43.826314,-70.483373,0.6855,1,42834.0,42834.0
University of Southern Maine,Portland,ME,04103,43.662863,-70.274247,0.4634,1,10920.0,27104.0
Thomas College,Waterville,ME,04901-5097,44.524909,-69.664734,0.5136,1,30896.0,30896.0
Unity Environmental University,New Gloucester,ME,04260,43.905745,-70.257277,0.5698,1,12640.0,12640.0
University of Baltimore,Baltimore,MD,21201-5720,39.305834,-76.616591,0.4673,2,9772.0,23490.0
Bowie State University,Bowie,MD,20715-9465,39.018185,-76.759721,0.3814,2,8999.0,19889.0
Capitol Technology University,Laurel,MD,20708,39.046673,-76.850231,0.4667,2,27318.0,27318.0
Washington Adventist University,Takoma Park,MD,20912,38.986349,-77.000608,0.4,2,25200.0,25200.0
Coppin State University,Baltimore,MD,21216-3698,39.311258,-76.658687,0.2559,2,7001.0,13789.0
Frostburg State University,Frostburg,MD,21532-1099,39.650918,-78.934293,0.5207,2,9998.0,25180.0
Goucher College,Baltimore,MD,21204-2794,39.410175,-76.594843,0.6,2,51250.0,51250.0
Hood College,Frederick,MD,21701,39.420631,-77.419049,0.5529,2,45870.0,45870.0
Johns Hopkins University,Baltimore,MD,21218-2688,39.328977,-76.621595,0.9463,2,63340.0,63340.0
Loyola University Maryland,Baltimore,MD,21210-2699,39.346358,-76.621872,0.8049,2,55480.0,55480.0
University of Maryland Global Campus,Adelphi,MD,20783-8010,38.912706,-76.847584,0.2958,2,7992.0,12336.0
University of Maryland-Baltimore County,Baltimore,MD,21250,39.256686,-76.711607,0.7055,2,12952.0,30308.0
University of Maryland-College Park,College Park,MD,20742,38.988178,-76.944721,0.8862,2,11505.0,40306.0
Maryland Institute College of Art,Baltimore,MD,21217-4134,39.308792,-76.621033,0.7133,2,55150.0,55150.0
University of Maryland Eastern Shore,Princess Anne,MD,21853-1299,38.207386,-75.686852,0.3464,2,8898.0,19728.0
Morgan State University,Baltimore,MD,21251-0001,39.344161,-76.585565,0.4161,2,8118.0,18800.0
Mount St. Mary's University,Emmitsburg,MD,21727-7799,39.681705,-77.351887,0.5802,2,47240.0,47240.0
Ner Israel Rabbinical College,Baltimore,MD,21208,39.388021,-76.753526,0.439,2,14400.0,14400.0
Notre Dame of Maryland University,Baltimore,MD,21210-2476,39.350612,-76.619739,0.5195,2,41910.0,41910.0
Salisbury University,Salisbury,MD,21801-6862,38.34648,-75.604815,0.6745,2,10638.0,21332.0
St. Mary's College of Maryland,St. Mary's City,MD,20686,38.188047,-76.430994,0.6804,2,15236.0,31312.0
St. John's College,Annapolis,MD,21401,38.981598,-76.491359,0.6741,2,39126.0,39126.0
Towson University,Towson,MD,21252-0001,39.393622,-76.611164,0.6762,2,11306.0,28326.0
United States Naval Academy,Annapolis,MD,21402-1300,38.980507,-76.481692,0.9185,0,,
Stevenson University,Owings Mills,MD,21117,39.426413,-76.775809,0.6642,2,39708.0,39708.0
Washington College,Chestertown,MD,21620-1438,39.217329,-76.06878,0.7411,2,54356.0,54356.0
McDaniel College,Westminster,MD,21157,39.584231,-77.001992,0.6376,2,49647.0,49647.0
Hult International Business School,Cambridge,MA,02141,42.369968,-71.070645,0.6582,1,54890.0,54890.0
American International College,Springfield,MA,01109,42.112346,-72.558338,0.4228,1,42970.0,42970.0
Amherst College,Amherst,MA,01002-5000,42.372459,-72.518493,0.9342,1,67280.0,67280.0
Anna Maria College,Paxton,MA,01612-1198,42.330542,-71.91896,0.4044,1,43064.0,43064.0
Assumption University,Worcester,MA,01609-1296,42.294226,-71.828991,0.7459,1,49414.0,49414.0
Babson College,Wellesley,MA,02457-0310,42.297017,-71.264057,0.9236,1,56032.0,56032.0
Boston Baptist College,Boston,MA,02136-4030,42.254037,-71.1103,0.4444,1,14304.0,14304.0
Bay Path University,Longmeadow,MA,01106,42.055088,-72.583382,0.5694,1,37227.0,37227.0
Bentley University,Waltham,MA,02452-4705,42.385995,-71.222839,0.8821,1,58150.0,58150.0
Berklee College of Music,Boston,MA,02215,42.346646,-71.089405,0.6635,1,50270.0,50270.0
Boston Architectural College,Boston,MA,02115-2703,42.348467,-71.085786,0.3846,1,26800.0,26800.0
Boston College,Chestnut Hill,MA,02467,42.336213,-71.169242,0.9099,1,67680.0,67680.0
Boston University,Boston,MA,02215,42.351118,-71.107942,0.8997,1,65168.0,65168.0
Brandeis University,Waltham,MA,02454-9110,42.365727,-71.260155,0.8611,1,64946.0,64946.0
Bridgewater State University,Bridgewater,MA,02325,41.98749,-70.974553,0.5461,1,11389.0,17529.0
Cambridge College,Boston,MA,02129,42.381091,-71.072646,0.125,1,18072.0,18072.0
Clark University,Worcester,MA,01610-1477,42.249987,-71.823356,0.7712,1,55160.0,55160.0
Curry College,Milton,MA,02186-2395,42.238061,-71.116539,0.4825,1,46220.0,46220.0
Dean College,Franklin,MA,02038-1941,42.085634,-71.397813,0.4317,1,44960.0,44960.0
Eastern Nazarene College,Quincy,MA,02170-2999,42.271228,-71.011079,0.3529,1,28610.0,28610.0
Emerson College,Boston,MA,02116-4624,42.352202,-71.065384,0.7927,1,55392.0,55392.0
Emmanuel College,Boston,MA,02115,42.340602,-71.103634,0.6582,1,46686.0,46686.0
Endicott College,Beverly,MA,01915,42.553296,-70.840847,0.7543,1,39212.0,39212.0
Fisher College,Boston,MA,02116,42.355253,-71.074125,0.2844,1,35013.0,35013.0
Fitchburg State University,Fitchburg,MA,01420-2697,42.588298,-71.789666,0.5273,1,11046.0,17126.0
Framingham State University,Framingham,MA,01701-9101,42.297116,-71.437565,0.4954,1,11630.0,17710.0
Benjamin Franklin Cummings Institute of Technology,Boston,MA,02116,42.346023,-71.070231,0.4716,1,18906.0,18906.0
Gordon College,Wenham,MA,01984,42.590567,-70.82151,0.6763,1,28100.0,28100.0
Hampshire College,Amherst,MA,01002-5001,42.325852,-72.531469,0.5723,1,56630.0,56630.0
Harvard University,Cambridge,MA,02138,42.374471,-71.118313,0.9733,1,59076.0,59076.0
Hellenic College-Holy Cross Greek Orthodox School of Theology,Brookline,MA,02445-7415,42.317018,-71.129418,0.4444,1,22490.0,22490.0
College of the Holy Cross,Worcester,MA,01610-2395,42.23752,-71.808214,0.8961,1,60850.0,60850.0
Lasell University,Newton,MA,02466,42.342148,-71.24347,0.5317,1,26000.0,26000.0
Lesley University,Cambridge,MA,02138-2790,42.38012,-71.117303,0.6174,1,32780.0,32780.0
Longy School of Music of Bard College,Cambridge,MA,02138,42.378657,-71.123479,0.4444,1,52950.0,52950.0
University of Massachusetts-Lowell,Lowell,MA,01854,42.652864,-71.326809,0.701,1,16570.0,35396.0
University of Massachusetts-Amherst,Amherst,MA,01003,42.385999,-72.526728,0.8316,1,17357.0,39293.0
University of Massachusetts-Boston,Boston,MA,02125-3393,42.312881,-71.036865,0.5115,1,15496.0,37174.0
MCPHS University,Boston,MA,02115-5896,42.336825,-71.101244,0.6332,1,38850.0,38850.0
Massachusetts College of Art and Design,Boston,MA,02115-5882,42.336862,-71.099275,0.6919,1,14960.0,42180.0
Massachusetts Institute of Technology,Cambridge,MA,02139-4307,42.359243,-71.093226,0.9608,1,60156.0,60156.0
Massachusetts Maritime Academy,Buzzards Bay,MA,02532-1803,41.739072,-70.624084,0.7912,1,10816.0,23910.0
Merrimack College,North Andover,MA,01845,42.668344,-71.124216,0.7213,1,51786.0,51786.0
Montserrat College of Art,Beverly,MA,01915-4508,42.550212,-70.876131,0.6154,1,39000.0,39000.0
Mount Holyoke College,South Hadley,MA,01075-1489,42.25489,-72.573916,0.8504,1,64142.0,64142.0
The New England Conservatory of Music,Boston,MA,02115-5018,42.340946,-71.08629,0.7778,1,58550.0,58550.0
Nichols College,Dudley,MA,01571-5000,42.044033,-71.930283,0.6364,1,40375.0,40375.0
Massachusetts College of Liberal Arts,North Adams,MA,01247-4100,42.691361,-73.102817,0.4913,1,11884.0,20559.0
Northeastern University,Boston,MA,02115-5005,42.339992,-71.088782,0.9038,1,63141.0,63141.0
College of Our Lady of the Elms,Chicopee,MA,01013,42.141781,-72.60154,0.6474,1,42061.0,42061.0
Quincy College,Quincy,MA,02169,42.252416,-71.003476,0.1663,1,7536.0,7536.0
Regis College,Weston,MA,02493-1571,42.351291,-71.310561,0.6949,1,47770.0,47770.0
Salem State University,Salem,MA,01970,42.503575,-70.890234,0.5499,1,11978.0,18961.0
Simmons University,Boston,MA,02115-5898,42.3393,-71.099967,0.7125,1,45538.0,45538.0
Bard College at Simon's Rock,Great Barrington,MA,01230-9702,42.208803,-73.379201,0.5417,1,66594.0,66594.0
Smith College,Northampton,MA,01063,42.318111,-72.638097,0.8966,1,61568.0,61568.0
Springfield College,Springfield,MA,01109-3797,42.1022,-72.556647,0.6763,1,43707.0,43707.0
University of Massachusetts-Dartmouth,North Dartmouth,MA,02747-2300,41.62869,-71.004552,0.4897,1,15208.0,31750.0
Stonehill College,Easton,MA,02357-6110,42.05905,-71.080632,0.8081,1,54500.0,54500.0
Suffolk University,Boston,MA,02108-3901,42.357945,-71.060917,0.5985,1,45380.0,45380.0
Tufts University,Medford,MA,02155-5555,42.40855,-71.118293,0.9333,1,67844.0,67844.0
Wellesley College,Wellesley,MA,02481-8203,42.291554,-71.306605,0.9121,1,64320.0,64320.0
Wentworth Institute of Technology,Boston,MA,02115,42.336632,-71.094983,0.6863,1,41010.0,41010.0
Western New England University,Springfield,MA,01119-2684,42.115017,-72.520466,0.6389,1,46430.0,46430.0
Westfield State University,Westfield,MA,01086-1630,42.132698,-72.796503,0.5486,1,11882.0,17962.0
Wheaton College (Massachusetts),Norton,MA,02766-2322,41.966637,-71.183979,0.757,1,62080.0,62080.0
Williams College,Williamstown,MA,01267,42.712725,-73.203132,0.9655,1,64860.0,64860.0
Worcester Polytechnic Institute,Worcester,MA,01609-2280,42.274853,-71.808339,0.8843,1,59070.0,59070.0
Worcester State University,Worcester,MA,01602-2597,42.267526,-71.844018,0.5551,1,11286.0,17366.0
Adrian College,Adrian,MI,49221-2575,41.898591,-84.061481,0.5595,3,40556.0,40556.0
Albion College,Albion,MI,49224,42.245049,-84.745639,0.5709,3,55746.0,55746.0
Alma College,Alma,MI,48801-1599,43.38004,-84.672053,0.6373,3,47430.0,47430.0
Alpena Community College,Alpena,MI,49707,45.081647,-83.445069,0.502,3,5130.0,7800.0
Andrews University,Berrien Springs,MI,49104,41.963859,-86.355815,0.6593,3,33710.0,33710.0
Aquinas College,Grand Rapids,MI,49506-1801,42.96019,-85.628785,0.625,3,38520.0,38520.0
Baker College,Owosso,MI,48867,42.984804,-84.172404,0.3133,3,12810.0,12810.0
Calvin University,Grand Rapids,MI,49546,42.929916,-85.587548,0.7736,3,38670.0,38670.0
Central Michigan University,Mount Pleasant,MI,48859,43.591203,-84.77525,0.6184,3,14190.0,14190.0
Cleary University,Howell,MI,48843,42.586638,-83.879987,0.3939,3,24842.0,24842.0
Concordia University Ann Arbor,Ann Arbor,MI,48105,42.273157,-83.68268,0.5,3,34200.0,34200.0
College for Creative Studies,Detroit,MI,48202,42.361839,-83.062352,0.6962,3,51355.0,51355.0
Davenport University,Grand Rapids,MI,49512-9396,42.850013,-85.533519,0.4952,3,23324.0,23324.0
University of Detroit Mercy,Detroit,MI,48221-3038,42.414222,-83.139158,0.681,3,32300.0,32300.0
Eastern Michigan University,Ypsilanti,MI,48197,42.251675,-83.627443,0.4549,3,15510.0,15510.0
Ferris State University,Big Rapids,MI,49307-2251,43.687724,-85.481925,0.4787,3,13630.0,13630.0
Kettering University,Flint,MI,48504-6214,43.012468,-83.71282,0.7054,3,46380.0,46380.0
Grace Christian University,Wyoming,MI,49509,42.919541,-85.692077,0.4286,3,14992.0,14992.0
Cornerstone University,Grand Rapids,MI,49525-5897,42.979966,-85.595328,0.6157,3,29100.0,29100.0
Grand Valley State University,Allendale,MI,49401-9403,42.963001,-85.889826,0.6865,3,14628.0,20820.0
Great Lakes Christian College,Lansing,MI,48917-1299,42.754249,-84.638714,0.2593,3,19990.0,19990.0
Henry Ford College,Dearborn,MI,48128-1495,42.324639,-83.236056,0.1063,3,3460.0,7040.0
Hillsdale College,Hillsdale,MI,49242,41.933682,-84.633195,0.8482,3,32092.0,32092.0
Hope College,Holland,MI,49423-9000,42.787247,-86.100971,0.8226,3,40420.0,40420.0
Jackson College,Jackson,MI,49201-8399,42.16483,-84.403942,0.1738,3,7040.0,9795.0
Kalamazoo College,Kalamazoo,MI,49006-3295,42.290789,-85.601857,0.817,3,58764.0,58764.0
Lake Superior State University,Sault Ste Marie,MI,49783,46.492849,-84.365573,0.5694,3,14266.0,14266.0
Lawrence Technological University,Southfield,MI,48075-1058,42.474072,-83.25003,0.6257,3,41872.0,41872.0
Madonna University,Livonia,MI,48150-1176,42.384323,-83.404722,0.5815,3,27360.0,27360.0
Rochester University,Rochester Hills,MI,48307,42.667521,-83.144959,0.414,3,27938.0,27938.0
University of Michigan-Ann Arbor,Ann Arbor,MI,48109,42.278374,-83.73481,0.9322,3,17228.0,58072.0
Michigan State University,East Lansing,MI,48824-1046,42.73212,-84.476111,0.8217,3,15988.0,43372.0
Michigan Technological University,Houghton,MI,49931-1295,47.11866,-88.548092,0.6872,3,18392.0,41340.0
University of Michigan-Dearborn,Dearborn,MI,48128-1491,42.317287,-83.231417,0.5655,3,14944.0,31360.0
University of Michigan-Flint,Flint,MI,48502-1950,43.01875,-83.690276,0.4456,3,14014.0,31274.0
Northern Michigan University,Marquette,MI,49855-5301,46.559751,-87.406568,0.5084,3,13304.0,18800.0
Northwestern Michigan College,Traverse City,MI,49686,44.765436,-85.585517,0.2489,3,5350.0,12762.0
Northwood University,Midland,MI,48640-2398,43.628717,-84.27682,0.6107,3,33000.0,33000.0
Oakland University,Rochester Hills,MI,48309-4401,42.674573,-83.216418,0.5694,3,14694.0,23188.0
The University of Olivet,Olivet,MI,49076,42.442891,-84.923891,0.3704,3,33076.0,33076.0
Kuyper College,Grand Rapids,MI,49525-9781,43.02195,-85.592657,0.5357,3,26390.0,26390.0
Sacred Heart Major Seminary,Detroit,MI,48206-1799,42.375248,-83.111682,0.6667,3,25560.0,25560.0
Saginaw Valley State University,University Center,MI,48710,43.51176,-83.964273,0.5382,3,12240.0,28752.0
Schoolcraft Community College District,Livonia,MI,48152-2696,42.419279,-83.430958,0.153,3,4448.0,7906.0
Siena Heights University,Adrian,MI,49221,41.905624,-84.018841,0.5111,3,29778.0,29778.0
Spring Arbor University,Spring Arbor,MI,49283-9799,42.206568,-84.556074,0.5985,3,32580.0,32580.0
Wayne State University,Detroit,MI,48202,42.358994,-83.068998,0.5651,3,14297.0,30419.0
Western Michigan University,Kalamazoo,MI,49008-5200,42.282194,-85.613759,0.5777,3,15298.0,19098.0
Academy College,Bloomington,MN,55431-1411,44.855722,-93.299809,1.0,4,18252.0,18252.0
Augsburg University,Minneapolis,MN,55454,44.966307,-93.240436,0.5244,4,43942.0,43942.0
Bemidji State University,Bemidji,MN,56601,47.482341,-94.874119,0.534,4,10164.0,10164.0
Bethany Lutheran College,Mankato,MN,56001,44.166649,-93.990805,0.5956,4,30010.0,30010.0
Bethel University,Saint Paul,MN,55112,45.057655,-93.161663,0.7522,4,42930.0,42930.0
Carleton College,Northfield,MN,55057,44.462318,-93.154666,0.9119,4,65457.0,65457.0
Concordia College at Moorhead,Moorhead,MN,56562,46.862482,-96.76749,0.7183,4,30020.0,30020.0
Concordia University-Saint Paul,Saint Paul,MN,55104-5494,44.949759,-93.154861,0.5878,4,25000.0,25000.0
Martin Luther College,New Ulm,MN,56073-3965,44.30526,-94.472326,0.7143,4,17770.0,17770.0
Gustavus Adolphus College,Saint Peter,MN,56082-1498,44.323626,-93.972196,0.7585,4,54310.0,54310.0
Hamline University,Saint Paul,MN,55104-1284,44.966246,-93.164479,0.5771,4,48311.0,48311.0
Macalester College,Saint Paul,MN,55105-1899,44.938565,-93.168053,0.9041,4,64908.0,64908.0
Minnesota State University-Mankato,Mankato,MN,56001,44.146712,-93.99945,0.5411,4,9490.0,18860.0
Metropolitan State University,Saint Paul,MN,55106-5000,44.957256,-93.074361,0.3837,4,9780.0,9780.0
University of Minnesota-Twin Cities,Minneapolis,MN,55455-0213,44.972851,-93.235464,0.8482,4,16488.0,36402.0
University of Minnesota-Crookston,Crookston,MN,56716-5001,47.802536,-96.606188,0.4973,4,13120.0,13120.0
Minneapolis College of Art and Design,Minneapolis,MN,55404,44.956988,-93.274705,0.6917,4,43824.0,43824.0
Herzing University-Minneapolis,St. Louis Park,MN,55426,44.975225,-93.404863,0.7353,4,13420.0,13420.0
University of Minnesota-Duluth,Duluth,MN,55812,46.817126,-92.084385,0.6445,4,14318.0,19762.0
University of Minnesota-Morris,Morris,MN,56267,45.589775,-95.899729,0.6193,4,14288.0,16438.0
Minnesota State University Moorhead,Moorhead,MN,56563,46.867153,-96.759532,0.5464,4,10336.0,10336.0
North Central University,Minneapolis,MN,55404-1391,44.968625,-93.261511,0.6359,4,29460.0,29460.0
University of Northwestern-St Paul,Saint Paul,MN,55113-1598,45.033703,-93.167822,0.6837,4,36830.0,36830.0
Northwestern Health Sciences University,Bloomington,MN,55431,44.850963,-93.311222,1.0,4,12015.0,12015.0
Oak Hills Christian College,Bemidji,MN,56601-8834,47.425836,-94.901503,0.3077,4,18910.0,18910.0
College of Saint Benedict,Saint Joseph,MN,56374,45.561792,-94.319888,0.8304,4,53884.0,53884.0
Saint Cloud State University,Saint Cloud,MN,56301-4498,45.553227,-94.152657,0.4691,4,10117.0,10117.0
Saint Johns University,Collegeville,MN,56321,45.580075,-94.393621,0.757,4,53942.0,53942.0
Saint Mary's University of Minnesota,Winona,MN,55987-1399,44.044736,-91.695449,0.6767,4,43160.0,43160.0
St Olaf College,Northfield,MN,55057-1098,44.461529,-93.182039,0.835,4,56970.0,56970.0
Crown College,Saint Bonifacius,MN,55375-9001,44.885393,-93.743019,0.6434,4,30200.0,30200.0
The College of Saint Scholastica,Duluth,MN,55811-4199,46.816082,-92.106134,0.6299,4,40454.0,40454.0
University of St Thomas,Saint Paul,MN,55105-1078,44.943439,-93.188986,0.7517,4,52284.0,52284.0
St Catherine University,Saint Paul,MN,55105,44.924926,-93.183761,0.6513,4,49758.0,49758.0
Rasmussen University-Minnesota,St. Cloud,MN,56301-3713,45.548117,-94.206254,0.5322,4,10899.0,10899.0
Southwest Minnesota State University,Marshall,MN,56258-5468,44.45373,-95.759548,0.4407,4,10304.0,10304.0
Dunwoody College of Technology,Minneapolis,MN,55403-1192,44.97281,-93.290608,0.627,4,25659.0,25659.0
Winona State University,Winona,MN,55987-5838,44.046159,-91.643723,0.6089,4,10498.0,17230.0
Alcorn State University,Alcorn State,MS,39096-7500,31.877216,-91.142854,0.4615,5,8549.0,8549.0
Belhaven University,Jackson,MS,39202,32.318415,-90.169228,0.5113,5,29195.0,29195.0
Blue Mountain Christian University,Blue Mountain,MS,38610,34.67209,-89.02924,0.512,5,19280.0,19280.0
Delta State University,Cleveland,MS,38733,33.744745,-90.735365,0.4686,5,8605.0,8605.0
Jackson State University,Jackson,MS,39217,32.296105,-90.207405,0.3219,5,9090.0,10110.0
Millsaps College,Jackson,MS,39210-0001,32.322746,-90.179957,0.5546,5,43815.0,43815.0
University of Mississippi,University,MS,38677-1848,34.365529,-89.537434,0.6849,5,9412.0,26980.0
Mississippi University for Women,Columbus,MS,39701,33.493305,-88.418601,0.3779,5,8092.0,8092.0
Mississippi Valley State University,Itta Bena,MS,38941-1400,33.514142,-90.341274,0.2214,5,7912.0,7912.0
Mississippi College,Clinton,MS,39058,32.335515,-90.329821,0.6281,5,21698.0,21698.0
Mississippi State University,Mississippi State,MS,39762,33.454852,-88.790139,0.6291,5,9815.0,26580.0
Rust College,Holly Springs,MS,38635,34.776862,-89.446999,0.2695,5,13840.0,13840.0
Southeastern Baptist College,Laurel,MS,39440-9989,31.748512,-89.149373,1.0,5,5925.0,5925.0
University of Southern Mississippi,Hattiesburg,MS,39406-0001,31.32661,-89.331236,0.5058,5,9618.0,11618.0
Tougaloo College,Tougaloo,MS,39174,32.403014,-90.16076,0.3231,5,11398.0,11398.0
William Carey University,Hattiesburg,MS,39401,31.305264,-89.291815,0.4083,5,14685.0,14685.0
